CUST_ID,CUSTOMER_SEGMENT,AGE,CUSTOMER_PROFITABILITY,CUSTOMER_LIFE_TIME_VALUE,CUSTOMER_VALUE_TILL_DATE,REVENUE_LAST_ONE_YEAR,TOTAL_REVENUE_OVER_LIFETIME,NET_INTEREST_INCOME_LAST_ONE_YEAR,TOTAL_NON_INTEREST_INCOME,TOTAL_COST,TOTAL_ECONOMIC_PROFIT,CUSTOMER_REGION,ACCOUNT_TYPE,RECENCY_DAYS,FREQUENCY_LAST_YEAR,MONETARY_VALUE,CUSTOMER_SEGMENT_NUM,CUSTOMER_REGION_NUM
1,Mid-Career Professionals,40,26721,271558,217116.67499869165,70913,271558,20740,28369,24253,46660,Urban,Loan,57,47,4018139,2,1
2,Retired Seniors,71,30609,281496,228525.3182467984,33238,281496,3129,13689,4242,28996,Rural,Savings,105,17,2902112,3,3
3,Mid-Career Professionals,41,72130,217860,179571.6300555287,36889,217860,40930,22331,13539,23350,Rural,Mortgage,35,44,3335188,2,3
4,Mid-Career Professionals,44,92909,256821,162747.7280982008,63899,256821,27285,9760,6831,57068,Urban,Savings,51,10,1454832,2,1
5,Young Adults,25,10907,43011,21830.462819374392,15770,43011,3168,3717,3569,12201,Suburban,Current,28,66,56048,1,2
6,Young Adults,24,11097,49591,48723.53859330836,11553,49591,4486,7244,5935,5618,Urban,Current,7,77,59911,1,1
7,Young Adults,22,17553,32858,20550.921847659123,16559,32858,3918,2066,9246,7313,Rural,Savings,16,24,80446,1,3
8,Retired Seniors,76,15656,265234,222269.5782426647,17498,265234,1067,2564,4918,12580,Urban,Investment,155,13,5875730,3,1
9,Mid-Career Professionals,30,94520,129003,110080.18655198158,55130,129003,16937,18393,8232,46898,Urban,Mortgage,26,22,4077912,2,1
10,Mid-Career Professionals,41,83740,233467,187941.80082164812,96931,233467,49886,8670,8758,88173,Suburban,Credit Card,0,14,2193787,2,2
11,Young Adults,23,18600,18134,11904.131343335148,21578,18134,547,3025,7997,13581,Rural,Current,19,79,75726,1,3
12,Retired Seniors,67,18286,132279,84069.67067582843,12537,132279,8758,4251,5355,7182,Urban,Savings,97,7,7527656,3,1
13,Retired Seniors,77,15901,65434,52270.91320518434,29226,65434,8895,14949,12589,16637,Suburban,Investment,117,9,1522805,3,2
14,Young Adults,18,14325,25233,23543.59556146191,20216,25233,4280,2804,9119,11097,Urban,Current,20,43,32289,1,1
